feature,family,importance_mean,importance_std,importance_low,importance_high,positive_fraction,positive_season_fraction,rank
nonsteal_turnover_net_strength_vs_strength,nonsteal_turnover,-9.990900911292418e-05,0.0005803437721520644,-0.0012235763335858908,0.0010182141010143494,0.44166666666666665,0.3333333333333333,72
three_point_net_matchup_edge,three_point,-0.00010442595523179703,0.0017166085805935295,-0.0036751379772027803,0.003751256925219534,0.48333333333333334,0.5,73
free_throw_pct_opponent_adjusted_matchup_edge,free_throw_pct,-0.00011626205932082727,0.002637968871223824,-0.005109103775175869,0.004545310801319815,0.525,0.3333333333333333,74
weakness_exploitation_composite,engineered_composites,-0.00013155607608757817,0.0005541964059612797,-0.0011679779417004322,0.0009033833613537599,0.48333333333333334,0.5,75
steal_recent_form_edge,steal,-0.00015506217748050924,0.005596907932519163,-0.010743236602640122,0.010061112501224543,0.4666666666666667,0.3333333333333333,76
free_throw_pct_net_strength_vs_weakness,free_throw_pct,-0.000196182152864303,0.0004395977537556254,-0.0010548135842356836,0.0005482213101278054,0.3333333333333333,0.3333333333333333,77
strength_vs_strength_composite,engineered_composites,-0.0002059694733270288,0.0014100025072605023,-0.002640309883324002,0.002001105761497474,0.49166666666666664,0.5,78
three_point_raw_matchup_edge,three_point,-0.00022191767286471414,0.002762560779853685,-0.005222405557102033,0.004632031690600343,0.4666666666666667,0.5,79
free_throw_rate_raw_matchup_edge,free_throw_rate,-0.00024098486376989415,0.0009773749394482644,-0.0020951300266962014,0.0016280457631378568,0.4083333333333333,0.3333333333333333,80
four_factor_edge_mean,engineered_composites,-0.00024382442306361923,0.0029158731957501746,-0.006102789707341333,0.00471700553873384,0.4666666666666667,0.5,81
shooting_pressure_edge,engineered_composites,-0.00026535760945215945,0.0022280765731221173,-0.004877446856604845,0.004002284816319414,0.4666666666666667,0.3333333333333333,82
free_throw_rate_opponent_adjusted_matchup_edge,free_throw_rate,-0.00029947836201433636,0.0035541425183056663,-0.007430416005700708,0.006962458464741748,0.475,0.5,83
nonsteal_turnover_recent_form_edge,nonsteal_turnover,-0.0003449287532863804,0.0004996784163953762,-0.0014243252229802356,0.0005759816583262101,0.23333333333333334,0.16666666666666666,84
free_throw_pct_recent_form_edge,free_throw_pct,-0.0003519789926819626,0.0008192133105717374,-0.0018864460979395703,0.0012512176922913852,0.35833333333333334,0.16666666666666666,85
assist_net_weakness_vs_strength,assist,-0.00037064953827058617,0.0004733544245249996,-0.0011799916014484297,0.0004697103898114668,0.23333333333333334,0.16666666666666666,86
steal_net_weakness_vs_strength,steal,-0.0003741708135082594,0.0060588221962963405,-0.011108216195397206,0.010624945118883712,0.5,0.3333333333333333,87
